10:00 AM|10:15 AM|Livestream from 26-100||||
10:15 AM|10:45 AM|Livestream: Opening Keynote Fireside Chat||2||Joi Ito and Pete Rizzo
10:45 AM|11:15 AM|Fireside 2: Debate of the Decade||2||David Vorick and Karl Floresch
11:15 AM|11:30 AM|Break||||
11:30 AM|12:15 PM|Panel 1||3||Paul Sztorc + Jared Tate + Evan Schwatrz
12:15 PM|1:00 PM|Panel 2||3||Jeremy Rubin + Sharon (Commonwealth Crypto) + Charles (Ledger) + Will Warren (0X Protocol)
1:00 PM|2:00 PM|Lunch||||
2:00 PM|2:45 PM|Panel  3||3||Linda Xie + Nick Ayton + Jeremy Gardner
2:45 PM|3:00 PM|Break||||Livestreaming from Room 1
3:00 PM|4:30 PM|Hackathon Presentations + Awards||||
4:30 PM|5:00 PM|Lightning Rap||3||Roastbeef + Conner
