10:00|10:30|Registration|
10:30|11:00|Welcome Second Day|Andrew
11:00|11:30|MIT DCI|Neha
11:30|12:00|zcash|Madars
12:00|12:30|Algorand|Silvio Micali
12:30|13:00|Bsafe network|Shinichiro
13:00|13:30|Break/Lunch|
13:30|14:00|Circle|Anders
14:00|14:30|Rsk|Sergio Demian Lerner
14:30|15:10|Augur|Joey Krug
