8:00 AM|9:00 AM|Registration||
9:00 AM|9:15 AM|Welcome||
9:15 AM|10:00 AM|Permissioned and Permissionless Systems: Reading Through the Noise|Peter Todd + Jamiel Sheikh|Rhys Lindmark
10:00 AM|10:30 AM|TBD|Stuart Haber|
10:30 AM|11:05 AM|Democratizing and Decentralizing Finance|Rune Christensen + Nadav Hollander + Todd Lippiatt|Richard Burton
11:05 AM|11:15 AM|Break||
11:15 AM|11:40 AM|The Cosmos Launch: Defining an MVP for a Next Generation Blockchain|Zaki Manian|
11:40 AM|12:05 PM|Parity / Polkadat|Bjorn Wagner|
12:05 PM|1:05 PM|Lunch||
1:05 PM|1:50 PM|Regulatory and Legal Landscape|Peter Van Valkenburgh + Katherine Wu + Caitlin Long + Lindsay Lin|Bruce Fenton
1:50 PM|2:20 PM|Synchronous, with a Chance of Partition Tolerance|Elaine Shi|
2:20 PM|2:30 PM|Break||
2:30 PM|3:00 PM|Funds are SCAFU: Security Assessment of open source Hardware Wallets|Charles Guillemet|
3:00 PM|3:30 PM|Deconstructing the Blockchain to Approach Physical Limits|Giulia Fanti|
3:30 PM|4:00 PM|TBD|David Vorick|
4:00 PM|4:30 PM|A Guided Tour Through the World of Snarks|Rebekah Mercer|
4:30 PM|5:15 PM|TBD|Neha Narula|
5:15 PM|5:30 PM|Closing Remarks||
